file_path,raw_label,canonical_label,file_name,size_bytes
dataset/Resumes PDF/Python Developer/10.pdf,Python Developer,python_developer,10.pdf,341233
dataset/Resumes PDF/Python Developer/100.pdf,Python Developer,python_developer,100.pdf,438347
dataset/Resumes PDF/Python Developer/101.pdf,Python Developer,python_developer,101.pdf,404865
dataset/Resumes PDF/Python Developer/102.pdf,Python Developer,python_developer,102.pdf,409455
dataset/Resumes PDF/Python Developer/103.pdf,Python Developer,python_developer,103.pdf,407789
dataset/Resumes PDF/Python Developer/104.pdf,Python Developer,python_developer,104.pdf,323310
dataset/Resumes PDF/Python Developer/105.pdf,Python Developer,python_developer,105.pdf,834897
dataset/Resumes PDF/Python Developer/106.pdf,Python Developer,python_developer,106.pdf,390522
dataset/Resumes PDF/Python Developer/107.pdf,Python Developer,python_developer,107.pdf,319878
dataset/Resumes PDF/Python Developer/11.pdf,Python Developer,python_developer,11.pdf,541434
dataset/Resumes PDF/Python Developer/110.pdf,Python Developer,python_developer,110.pdf,611836
dataset/Resumes PDF/Python Developer/111.pdf,Python Developer,python_developer,111.pdf,956746
dataset/Resumes PDF/Python Developer/112.pdf,Python Developer,python_developer,112.pdf,614377
dataset/Resumes PDF/Python Developer/113.pdf,Python Developer,python_developer,113.pdf,395660
dataset/Resumes PDF/Python Developer/114.pdf,Python Developer,python_developer,114.pdf,890031
dataset/Resumes PDF/Python Developer/115.pdf,Python Developer,python_developer,115.pdf,408467
dataset/Resumes PDF/Python Developer/116.pdf,Python Developer,python_developer,116.pdf,348135
dataset/Resumes PDF/Python Developer/117.pdf,Python Developer,python_developer,117.pdf,329786
dataset/Resumes PDF/Python Developer/12.pdf,Python Developer,python_developer,12.pdf,467575
dataset/Resumes PDF/Python Developer/122.pdf,Python Developer,python_developer,122.pdf,861603
dataset/Resumes PDF/Python Developer/128.pdf,Python Developer,python_developer,128.pdf,312022
dataset/Resumes PDF/Python Developer/129.pdf,Python Developer,python_developer,129.pdf,432168
dataset/Resumes PDF/Python Developer/13.pdf,Python Developer,python_developer,13.pdf,771427
dataset/Resumes PDF/Python Developer/136.pdf,Python Developer,python_developer,136.pdf,406773
dataset/Resumes PDF/Python Developer/138.pdf,Python Developer,python_developer,138.pdf,502883
dataset/Resumes PDF/Python Developer/139.pdf,Python Developer,python_developer,139.pdf,346231
dataset/Resumes PDF/Python Developer/14.pdf,Python Developer,python_developer,14.pdf,463393
dataset/Resumes PDF/Python Developer/15.pdf,Python Developer,python_developer,15.pdf,307549
dataset/Resumes PDF/Python Developer/16.pdf,Python Developer,python_developer,16.pdf,463484
dataset/Resumes PDF/Python Developer/17.pdf,Python Developer,python_developer,17.pdf,710472
dataset/Resumes PDF/Python Developer/23.pdf,Python Developer,python_developer,23.pdf,284872
dataset/Resumes PDF/Python Developer/28.pdf,Python Developer,python_developer,28.pdf,348072
dataset/Resumes PDF/Python Developer/29.pdf,Python Developer,python_developer,29.pdf,415798
dataset/Resumes PDF/Python Developer/37.pdf,Python Developer,python_developer,37.pdf,0
dataset/Resumes PDF/Python Developer/38.pdf,Python Developer,python_developer,38.pdf,351861
dataset/Resumes PDF/Python Developer/39.pdf,Python Developer,python_developer,39.pdf,407991
dataset/Resumes PDF/Python Developer/48.pdf,Python Developer,python_developer,48.pdf,625146
dataset/Resumes PDF/Python Developer/49.pdf,Python Developer,python_developer,49.pdf,363331
dataset/Resumes PDF/Python Developer/58.pdf,Python Developer,python_developer,58.pdf,1068584
dataset/Resumes PDF/Python Developer/59.pdf,Python Developer,python_developer,59.pdf,311217
dataset/Resumes PDF/Python Developer/60.pdf,Python Developer,python_developer,60.pdf,399520
dataset/Resumes PDF/Python Developer/61.pdf,Python Developer,python_developer,61.pdf,609512
dataset/Resumes PDF/Python Developer/62.pdf,Python Developer,python_developer,62.pdf,536219
dataset/Resumes PDF/Python Developer/63.pdf,Python Developer,python_developer,63.pdf,452008
